               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.029973,            0.028541,           0.0023914,             0.30765,            0.042505,            0.054798,            0.013918,            0.066653,             0.11837,            0.062214,            0.008812,            0.008812,            0.008812
                  38,            0.029859,             0.02868,           0.0023257,             0.12783,            0.037404,            0.034779,             0.01073,             0.06569,             0.12027,            0.059521,            0.008779,            0.008779,            0.008779
                  39,            0.029118,            0.028151,           0.0023254,             0.26021,            0.074427,            0.066188,            0.012119,            0.067997,             0.11674,            0.055652,            0.008746,            0.008746,            0.008746
                  40,            0.029061,            0.028016,           0.0022032,             0.10853,             0.12113,            0.071891,             0.01254,            0.068022,             0.12386,            0.058887,            0.008713,            0.008713,            0.008713
                  41,            0.029278,            0.028064,           0.0022827,              0.2927,            0.062635,            0.085261,            0.016442,            0.067832,             0.12138,             0.06275,             0.00868,             0.00868,             0.00868
                  42,             0.02859,            0.027683,           0.0021937,             0.37942,             0.16158,             0.16241,            0.038358,            0.067113,              0.1172,             0.05832,            0.008647,            0.008647,            0.008647
                  43,            0.028719,            0.027631,           0.0022419,             0.29501,            0.083087,            0.068301,            0.014721,            0.067459,             0.12086,            0.059723,            0.008614,            0.008614,            0.008614
                  44,            0.028618,            0.027366,           0.0021847,            0.040566,             0.17706,            0.090401,            0.016028,            0.066073,             0.12435,            0.057047,            0.008581,            0.008581,            0.008581
                  45,            0.028197,            0.026755,           0.0022546,             0.39002,            0.080576,              0.1502,            0.035643,            0.067152,             0.12079,            0.055486,            0.008548,            0.008548,            0.008548
                  46,            0.027941,            0.027042,           0.0021947,             0.28762,            0.068889,            0.089899,            0.021374,            0.067962,             0.12876,            0.062142,            0.008515,            0.008515,            0.008515
                  47,            0.027923,            0.026768,           0.0021298,            0.032328,             0.12776,            0.050871,            0.011433,            0.068187,             0.12971,            0.064852,            0.008482,            0.008482,            0.008482
                  48,            0.027856,            0.026653,           0.0021175,             0.47845,            0.091415,            0.082725,            0.015593,            0.068768,             0.12503,            0.057938,            0.008449,            0.008449,            0.008449
                  49,            0.027163,            0.026753,           0.0020843,             0.43728,             0.04252,            0.042545,            0.011438,            0.067326,             0.12497,            0.061228,            0.008416,            0.008416,            0.008416
                  50,            0.027524,            0.026408,           0.0020718,            0.037056,              0.1485,            0.046331,            0.014473,            0.066731,             0.12328,            0.062302,            0.008383,            0.008383,            0.008383
                  51,            0.027243,             0.02637,           0.0020186,             0.10086,            0.051758,            0.047093,            0.013775,            0.067372,             0.12347,             0.06109,             0.00835,             0.00835,             0.00835
                  52,            0.027066,            0.025981,           0.0021078,             0.11087,            0.043242,            0.034779,           0.0090067,            0.067569,             0.12598,            0.060162,            0.008317,            0.008317,            0.008317
                  53,            0.026947,             0.02602,           0.0019837,             0.23982,            0.033584,            0.025723,           0.0078804,            0.067725,             0.12671,            0.059803,            0.008284,            0.008284,            0.008284
                  54,            0.027071,             0.02624,           0.0020382,              0.4222,            0.054479,             0.06223,            0.016051,            0.067083,             0.12772,            0.060866,            0.008251,            0.008251,            0.008251
                  55,            0.026584,            0.025902,           0.0019947,             0.37179,             0.14877,             0.15859,            0.036847,            0.067367,             0.12801,             0.06077,            0.008218,            0.008218,            0.008218
                  56,            0.026688,            0.025369,           0.0020302,            0.076186,             0.05734,            0.045301,            0.011014,            0.067941,             0.12568,            0.057116,            0.008185,            0.008185,            0.008185
                  57,            0.026273,            0.025491,           0.0019083,            0.038249,             0.11984,            0.046589,            0.011308,            0.067237,              0.1337,             0.06291,            0.008152,            0.008152,            0.008152
                  58,            0.026215,            0.025058,           0.0019252,             0.28491,            0.036284,            0.036015,             0.01096,            0.068489,             0.12608,            0.067493,            0.008119,            0.008119,            0.008119
                  59,            0.026358,            0.025361,           0.0019909,             0.32318,            0.092311,            0.096188,            0.021205,            0.068934,             0.12444,            0.062055,            0.008086,            0.008086,            0.008086
                  60,            0.026128,             0.02552,           0.0019084,             0.46347,            0.050664,             0.05959,            0.015028,            0.069755,             0.12392,            0.067798,            0.008053,            0.008053,            0.008053
                  61,            0.025861,            0.025089,           0.0019433,             0.46459,            0.053904,            0.066908,            0.017718,            0.068997,             0.12005,            0.070726,             0.00802,             0.00802,             0.00802
                  62,            0.026165,            0.025115,            0.001936,             0.18058,             0.13457,              0.1503,            0.025493,              0.0688,             0.12772,             0.06234,            0.007987,            0.007987,            0.007987
                  63,            0.025455,            0.025125,           0.0019491,             0.30555,            0.085228,             0.10734,            0.023367,            0.069776,             0.12462,            0.069007,            0.007954,            0.007954,            0.007954
                  64,            0.025482,            0.025171,           0.0018893,             0.34715,            0.057527,             0.11866,            0.027795,            0.068825,             0.12457,            0.065519,            0.007921,            0.007921,            0.007921
                  65,            0.025394,            0.024685,           0.0018822,             0.15746,            0.046557,            0.076399,            0.016242,            0.069548,             0.12394,            0.063446,            0.007888,            0.007888,            0.007888
                  66,             0.02555,            0.024778,            0.001838,                0.35,             0.12689,             0.13447,            0.023626,            0.068469,             0.11996,            0.067796,            0.007855,            0.007855,            0.007855
