               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.027564,            0.026458,                   0,             0.74861,             0.51305,             0.61158,             0.32434,            0.046443,            0.078856,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.027017,             0.02581,                   0,             0.76369,             0.51961,             0.61038,             0.32966,            0.046372,             0.08147,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.027059,            0.025739,                   0,             0.74554,             0.48756,             0.60104,              0.3232,            0.046451,            0.082604,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.027408,            0.026152,                   0,             0.77942,             0.49752,             0.61573,             0.34305,            0.046337,            0.082135,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.026755,            0.025607,                   0,             0.77722,             0.48796,             0.58712,             0.32399,            0.046927,            0.085945,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.026803,             0.02541,                   0,             0.78252,             0.48681,             0.60037,             0.32025,            0.047802,            0.088878,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.026505,            0.025544,                   0,             0.77871,             0.50131,             0.61615,              0.3383,            0.047118,            0.081641,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.026597,            0.025318,                   0,             0.76241,             0.49294,             0.60445,              0.3303,            0.047673,            0.083776,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.026307,            0.025202,                   0,             0.75712,             0.52601,             0.62136,             0.33692,            0.047319,            0.076928,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.026056,            0.024828,                   0,             0.81398,             0.50641,             0.63442,             0.35502,            0.046865,            0.084224,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.026203,            0.025304,                   0,             0.78305,             0.50052,             0.59964,              0.3296,            0.047073,            0.085864,                   0,            0.008416,            0.008416,            0.008416
                  50,             0.02589,            0.024922,                   0,             0.78749,             0.50426,             0.61704,             0.34157,            0.047197,            0.083421,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.025897,            0.024809,                   0,             0.76755,             0.48536,             0.59397,             0.31884,            0.047568,            0.086544,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.025609,            0.024438,                   0,             0.74595,             0.49255,             0.58535,             0.31889,            0.048201,            0.084506,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.025819,            0.024771,                   0,             0.77115,             0.51268,             0.61775,             0.33489,            0.047856,            0.081433,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.025544,            0.024619,                   0,             0.80065,             0.49246,             0.60936,             0.33047,            0.048005,            0.084087,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.025069,            0.024644,                   0,              0.7528,             0.50523,             0.61042,             0.33167,             0.04771,            0.082277,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.025353,            0.024118,                   0,             0.78752,             0.46462,             0.59263,             0.32707,            0.047617,            0.088335,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.024954,            0.024163,                   0,             0.78959,             0.50331,             0.61465,             0.33967,            0.047809,            0.082028,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.025099,            0.023806,                   0,             0.80165,              0.4929,             0.62271,             0.34723,            0.048037,            0.083546,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.025161,            0.023786,                   0,             0.79181,             0.48673,             0.61052,             0.32805,            0.047553,            0.084536,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.025028,            0.023918,                   0,             0.77549,             0.49034,             0.61223,             0.34039,            0.046993,            0.083677,                   0,            0.008053,            0.008053,            0.008053
                  61,             0.02484,            0.023792,                   0,             0.80341,             0.45935,              0.6082,             0.34225,             0.04777,            0.088754,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.024332,            0.023804,                   0,             0.80061,             0.51544,             0.64065,             0.35586,            0.047571,            0.080898,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.024617,            0.023536,                   0,             0.78165,             0.49804,             0.63112,             0.34029,            0.047114,            0.082491,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.024609,             0.02346,                   0,             0.80916,             0.49051,             0.63138,             0.35568,            0.048018,            0.086287,                   0,            0.007921,            0.007921,            0.007921
                  65,            0.024139,            0.023263,                   0,             0.78933,             0.51529,             0.63106,             0.34959,             0.04786,            0.082082,                   0,            0.007888,            0.007888,            0.007888
                  66,            0.024369,            0.023205,                   0,             0.82328,             0.47477,             0.61165,             0.34437,            0.046771,             0.09199,                   0,            0.007855,            0.007855,            0.007855
                  67,            0.023933,            0.023353,                   0,             0.80458,             0.51699,             0.64632,             0.36829,            0.047173,            0.082458,                   0,            0.007822,            0.007822,            0.007822
                  68,            0.024178,            0.023216,                   0,             0.81989,             0.47203,             0.62908,             0.35058,             0.04819,            0.086522,                   0,            0.007789,            0.007789,            0.007789
                  69,             0.02414,            0.022831,                   0,             0.82296,             0.47456,             0.63258,             0.34923,            0.048145,            0.087219,                   0,            0.007756,            0.007756,            0.007756
                  70,            0.023801,            0.022859,                   0,             0.81498,             0.50268,             0.62602,             0.35186,             0.04768,            0.082872,                   0,            0.007723,            0.007723,            0.007723
                  71,            0.023794,            0.022712,                   0,             0.83204,             0.49277,             0.63338,             0.35715,            0.047883,            0.084385,                   0,             0.00769,             0.00769,             0.00769
                  72,             0.02388,            0.023026,                   0,             0.82079,             0.49813,             0.63687,             0.36342,            0.047674,            0.084234,                   0,            0.007657,            0.007657,            0.007657
                  73,            0.023818,            0.022929,                   0,             0.82709,             0.48693,             0.62574,             0.36144,            0.048258,            0.086775,                   0,            0.007624,            0.007624,            0.007624
                  74,            0.023485,            0.022874,                   0,             0.83282,             0.49908,             0.62737,             0.36085,             0.04819,            0.085876,                   0,            0.007591,            0.007591,            0.007591
                  75,            0.023493,            0.022776,                   0,              0.8441,             0.46852,             0.62364,             0.36523,            0.048452,            0.089026,                   0,            0.007558,            0.007558,            0.007558
                  76,            0.023402,            0.022445,                   0,             0.82892,             0.46996,              0.6227,             0.35308,            0.047854,            0.089347,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.023443,            0.022369,                   0,              0.8166,              0.4825,             0.62078,             0.36069,            0.047605,            0.087439,                   0,            0.007492,            0.007492,            0.007492
                  78,            0.023261,            0.022411,                   0,             0.83286,             0.47791,             0.61496,               0.347,            0.048323,            0.087825,                   0,            0.007459,            0.007459,            0.007459
                  79,            0.023102,            0.022571,                   0,              0.8199,             0.49007,              0.6262,             0.35427,            0.047762,            0.083891,                   0,            0.007426,            0.007426,            0.007426
                  80,            0.023234,            0.022378,                   0,             0.81949,             0.49196,             0.62757,             0.36027,            0.047721,            0.086322,                   0,            0.007393,            0.007393,            0.007393
                  81,            0.023227,             0.02225,                   0,             0.81594,             0.49294,             0.62876,             0.36068,            0.047842,            0.085641,                   0,             0.00736,             0.00736,             0.00736
                  82,            0.022987,            0.022389,                   0,             0.79964,             0.49059,              0.6198,             0.35161,            0.047261,            0.086517,                   0,            0.007327,            0.007327,            0.007327
                  83,            0.022965,            0.021943,                   0,             0.79825,             0.49394,              0.6231,             0.36442,            0.047349,            0.084571,                   0,            0.007294,            0.007294,            0.007294
                  84,            0.023233,            0.022126,                   0,             0.82832,             0.49951,             0.64017,             0.36861,            0.047424,            0.083906,                   0,            0.007261,            0.007261,            0.007261
                  85,             0.02276,            0.021591,                   0,             0.80052,             0.49817,             0.63027,              0.3649,            0.047624,            0.082221,                   0,            0.007228,            0.007228,            0.007228
                  86,            0.022931,            0.022141,                   0,             0.82752,              0.4892,             0.63251,             0.37159,            0.047213,            0.085387,                   0,            0.007195,            0.007195,            0.007195
                  87,            0.022724,              0.0219,                   0,             0.83954,              0.4834,             0.62768,             0.36436,            0.047757,            0.087041,                   0,            0.007162,            0.007162,            0.007162
                  88,            0.022459,            0.022026,                   0,             0.82305,             0.49255,             0.63428,             0.36607,            0.047398,            0.085902,                   0,            0.007129,            0.007129,            0.007129
